dataset,approach,param,predicted_text_rouge-l,predicted_text_rouge-1,predicted_text_rouge-2,predicted_text_bleu_score,predicted_text_exact_match,acceptance_rate_mean
cnn_dm_lm,base,,0.1422962248325348,0.27960005402565,0.06149978190660477,0.0,2440.10009765625,0.9022674322128296
cnn_dm_lm,random_dropout,t=0.1,0.1005946546792984,0.16229568421840668,0.01047105435281992,0.0,2536.550048828125,0.5102447479963302
cnn_dm_lm,random_dropout,t=0.2,0.1353023499250412,0.21921822428703308,0.01873914711177349,0.0,2408.050048828125,0.34041460156440734
cnn_dm_lm,angular,n=1,0.14109668135643005,0.2758616805076599,0.05871666595339775,0.0,2409.550048828125,0.8466776460409164
cnn_dm_lm,angular,n=2,0.14221470057964325,0.27811890840530396,0.05629501864314079,0.0,2377.25,0.8106424629688262
cnn_dm_lm,angular,n=3,0.1372862309217453,0.275454044342041,0.054561637341976166,0.0,2394.89990234375,0.8076640188694
cnn_dm_summarization,base,,0.11193845421075821,0.1723639816045761,0.07608397305011749,0.0,1734.1500244140625,0.9714114189147949
cnn_dm_summarization,random_dropout,t=0.1,0.06730178743600845,0.08480595052242279,0.005062571726739407,0.0,995.9000244140625,0.5236101627349854
cnn_dm_summarization,random_dropout,t=0.2,0.05743255093693733,0.07166317850351334,0.006673939526081085,0.0,1205.199951171875,0.3986961141228676
cnn_dm_summarization,angular,n=1,0.1337868571281433,0.19814495742321014,0.09491667151451111,0.0,1620.25,0.9452546328306198
cnn_dm_summarization,angular,n=2,0.1206871047616005,0.18392597138881683,0.08657123148441315,0.0,1752.4000244140625,0.963268929719925
cnn_dm_summarization,angular,n=3,0.11767295747995377,0.1754043996334076,0.08111816644668579,0.0,1624.449951171875,0.9486263781785965
human_eval,base,,0.12161405384540558,0.15655669569969177,0.03617357462644577,0.0,800.5999755859375,0.9688548564910888
human_eval,random_dropout,t=0.1,0.019890878349542618,0.021389666944742203,0.0012570923427119851,0.0,925.5499877929688,0.47393366545438764
human_eval,random_dropout,t=0.2,0.013143944554030895,0.014463545754551888,0.0002832861209753901,0.0,1114.25,0.2735590532422066
human_eval,angular,n=1,0.14583955705165863,0.20109567046165466,0.04138468578457832,0.0,671.2000122070312,0.9423635900020599
human_eval,angular,n=2,0.13851282000541687,0.1768428385257721,0.040277887135744095,0.0,853.1500244140625,0.9144396722316742
human_eval,angular,n=3,0.12061824649572372,0.1645313799381256,0.05085822194814682,0.0,828.5,0.9300647705793381
xsum_summarization,base,,0.06653578579425812,0.07973610609769821,0.01639362797141075,0.0,1378.800048828125,0.9131511092185974
xsum_summarization,random_dropout,t=0.1,0.033360954374074936,0.03637254983186722,0.0034344401210546494,0.0,1092.050048828125,0.49280494451522827
xsum_summarization,random_dropout,t=0.2,0.033513762056827545,0.03705086186528206,0.003034323686733842,0.0,1252.449951171875,0.3678307496011257
xsum_summarization,angular,n=1,0.057373009622097015,0.07463076710700989,0.013284049928188324,0.0,1339.9000244140625,0.889078465104103
xsum_summarization,angular,n=2,0.05633949115872383,0.06502781063318253,0.016258079558610916,0.0,1312.8499755859375,0.8629188418388367
xsum_summarization,angular,n=3,0.07464597374200821,0.08866824954748154,0.016503049060702324,0.0,1323.5,0.9031550109386444
